percentile,scenario,year,variable,Delta T
recommendation,ssp585,2079,ch4,0.17506317960009093
recommendation,ssp585,2080,ch4,0.17517146158849933
recommendation,ssp585,2081,ch4,0.17516348379452046
recommendation,ssp585,2082,ch4,0.17503312442704783
recommendation,ssp585,2083,ch4,0.17476493129913295
recommendation,ssp585,2084,ch4,0.17435057597488374
recommendation,ssp585,2085,ch4,0.17378744098687188
recommendation,ssp585,2086,ch4,0.17307600994644523
recommendation,ssp585,2087,ch4,0.17221946525325066
recommendation,ssp585,2088,ch4,0.17122304603635002
recommendation,ssp585,2089,ch4,0.1700923289932244
recommendation,ssp585,2090,ch4,0.16883398076731876
recommendation,ssp585,2091,ch4,0.16745468363737137
recommendation,ssp585,2092,ch4,0.16597776970730127
recommendation,ssp585,2093,ch4,0.16443849705307123
recommendation,ssp585,2094,ch4,0.1628621264269784
recommendation,ssp585,2095,ch4,0.1612672601809404
recommendation,ssp585,2096,ch4,0.1596662828565691
recommendation,ssp585,2097,ch4,0.1580689656817716
recommendation,ssp585,2098,ch4,0.15648148956972713
recommendation,ssp585,2099,ch4,0.1549081769180352
recommendation,ssp585,2100,ch4,0.15335151567919664
recommendation,ssp370,2019,ch4,0.0
recommendation,ssp370,2020,ch4,0.004256681881989632
recommendation,ssp370,2021,ch4,0.008333090145534627
recommendation,ssp370,2022,ch4,0.012287635499495075
recommendation,ssp370,2023,ch4,0.016167085548077997
recommendation,ssp370,2024,ch4,0.02000425427268443
recommendation,ssp370,2025,ch4,0.023822057458242507
recommendation,ssp370,2026,ch4,0.02763601083177114
recommendation,ssp370,2027,ch4,0.03145617556410635
recommendation,ssp370,2028,ch4,0.03528946169786157
recommendation,ssp370,2029,ch4,0.03913952681125277
recommendation,ssp370,2030,ch4,0.04300808897461467
recommendation,ssp370,2031,ch4,0.04689542880383657
recommendation,ssp370,2032,ch4,0.050795396664732095
recommendation,ssp370,2033,ch4,0.05469761132232637
recommendation,ssp370,2034,ch4,0.05859397239285591
recommendation,ssp370,2035,ch4,0.0624794181111078
recommendation,ssp370,2036,ch4,0.06634982067934053
recommendation,ssp370,2037,ch4,0.070202623243316
recommendation,ssp370,2038,ch4,0.07403600387166343
recommendation,ssp370,2039,ch4,0.07784868064251471
recommendation,ssp370,2040,ch4,0.08163934032980907
recommendation,ssp370,2041,ch4,0.08540794367061572
recommendation,ssp370,2042,ch4,0.08915454400317308
recommendation,ssp370,2043,ch4,0.09287967614382259
recommendation,ssp370,2044,ch4,0.09658422064647043
recommendation,ssp370,2045,ch4,0.10026846500979109
recommendation,ssp370,2046,ch4,0.10393310953921298
recommendation,ssp370,2047,ch4,0.10757830760644699
recommendation,ssp370,2048,ch4,0.11120464347796671
recommendation,ssp370,2049,ch4,0.11481218021136552
recommendation,ssp370,2050,ch4,0.11840103465032237
recommendation,ssp370,2051,ch4,0.12197133656031067
recommendation,ssp370,2052,ch4,0.12552607938392263
recommendation,ssp370,2053,ch4,0.1290691556998032
recommendation,ssp370,2054,ch4,0.1326030622576589
recommendation,ssp370,2055,ch4,0.13613006598642663
recommendation,ssp370,2056,ch4,0.13965105369036707
recommendation,ssp370,2057,ch4,0.1431666972543003
recommendation,ssp370,2058,ch4,0.14667710152639968
recommendation,ssp370,2059,ch4,0.1501819787588186
recommendation,ssp370,2060,ch4,0.15368150055302499
recommendation,ssp370,2061,ch4,0.15717504592316411
recommendation,ssp370,2062,ch4,0.16066331315309257
recommendation,ssp370,2063,ch4,0.16414645394594596
recommendation,ssp370,2064,ch4,0.16762537011192535
recommendation,ssp370,2065,ch4,0.17109957366358314
recommendation,ssp370,2066,ch4,0.17456910649874507
recommendation,ssp370,2067,ch4,0.17803360700630266
recommendation,ssp370,2068,ch4,0.1814924689539284
recommendation,ssp370,2069,ch4,0.18494560225586082
recommendation,ssp370,2070,ch4,0.18839184973652473
recommendation,ssp370,2071,ch4,0.19183111156317895
recommendation,ssp370,2072,ch4,0.19526369512256153
recommendation,ssp370,2073,ch4,0.19869096594330676
recommendation,ssp370,2074,ch4,0.20211356962494093
recommendation,ssp370,2075,ch4,0.2055312582697449
recommendation,ssp370,2076,ch4,0.2089445967031039
recommendation,ssp370,2077,ch4,0.21235290187944106
recommendation,ssp370,2078,ch4,0.21575604663773712
recommendation,ssp370,2079,ch4,0.21915359253762073
recommendation,ssp370,2080,ch4,0.2225448499986981
recommendation,ssp370,2081,ch4,0.2259293409635726
recommendation,ssp370,2082,ch4,0.22930206539943948
recommendation,ssp370,2083,ch4,0.23265542160398683
recommendation,ssp370,2084,ch4,0.2359842034316228
recommendation,ssp370,2085,ch4,0.23928494793402472
recommendation,ssp370,2086,ch4,0.24255552963606325
recommendation,ssp370,2087,ch4,0.2457944329862694
recommendation,ssp370,2088,ch4,0.24900164648856032
recommendation,ssp370,2089,ch4,0.2521772407315645
recommendation,ssp370,2090,ch4,0.2553216701917164
recommendation,ssp370,2091,ch4,0.25843568104149434
recommendation,ssp370,2092,ch4,0.2615202303154979
