year,BC,CH4,CO2,HC,N2O,NH3,NOx,OC,SO2,VOC
1826,0.0012851599367062732,0.03359079140555782,0.0454885744894068,0.0,0.0031033027706203397,-0.0003861592507774771,-0.00015902214725888928,-0.009572287788538483,-0.0029975422413123266,0.014255307042892913
1827,0.001327312457247092,0.03407936444389208,0.04615019900368088,0.0,0.0031484398453980027,-0.000396836883908403,-0.00016485167977926,-0.009869450101635518,-0.0031372336699962643,0.014663602288992808
1828,0.0013675137658592643,0.03456864922164853,0.04681278735388642,0.0,0.0031936426745931114,-0.0004077227552615585,-0.00017014048547617347,-0.01016403349148902,-0.0032587395287266745,0.01507145965681876
1829,0.0014054684431301834,0.035058643245897775,0.04747633616410403,0.0,0.003238911027895087,-0.0004187765828129777,-0.00017520114664198557,-0.010455124107240072,-0.003362689443338444,0.015477091757346104
1830,0.0014570008886797025,0.03554934403244327,0.04814084207024034,0.0,0.00328424467580017,-0.0004299804519787923,-0.0001882360283558055,-0.01077391820608306,-0.0037096205569153965,0.01594450962915914
1831,0.0015018599914918157,0.036040749105790464,0.04880630171998614,0.0,0.0033296433896084707,-0.00044091311453003153,-0.00019717178937137154,-0.01109449042934653,-0.003943116985035321,0.016385157030857956
1832,0.0015434330571963272,0.036532855999116064,0.04947271177277486,0.0,0.003375106941421237,-0.000451658396856598,-0.00020564110414675633,-0.01141926316684563,-0.004148198301297014,0.016819592993310324
1833,0.0015836774663988006,0.03702566225423752,0.05014006889974121,0.0,0.0034206351041380246,-0.0004622731520047442,-0.00021346558580069946,-0.011749140689820041,-0.0043374854237048215,0.017253313416866357
1834,0.001627231257498987,0.037519165421582616,0.050808369783679946,0.0,0.003466227651453792,-0.00047279990572373065,-0.00022077820276694514,-0.012093589970848835,-0.004504172164221116,0.017689147871436772
1835,0.0016727369058492428,0.03801336306015924,0.05147761111900505,0.0,0.0035118843578562154,-0.0004832728307095668,-0.00022795577287871308,-0.012447407267066965,-0.004674236963697553,0.01812160698093003
1836,0.0017290143835769734,0.038508252737525256,0.052147789611708815,0.0,0.003557604998622889,-0.0004937085440726031,-0.0002397478826460112,-0.012826436470349317,-0.004998637598255256,0.018602432368697956
1837,0.0017804487357111962,0.03900383202975849,0.052818901979321264,0.0,0.003603389349818468,-0.0005041329876922162,-0.0002496442864548328,-0.013197881920770909,-0.00524737880310797,0.01906132664942742
1838,0.0018303023910290774,0.039500098521426885,0.05349094495086971,0.0,0.0036492371882920044,-0.0005145580758912534,-0.0002593862741143482,-0.013567150568968265,-0.005492703199125758,0.019519764287245833
1839,0.0018783177573554165,0.03999704980555868,0.054163915266838406,0.0,0.003695148291674162,-0.0005249952964057786,-0.00026948138791665005,-0.013933336723854781,-0.005748623322118333,0.01997497041037982
1840,0.001929455135160105,0.04049468348361285,0.05483780967912832,0.0,0.0037411224383745055,-0.0005354527390614294,-0.00028042012961669696,-0.014306614176764458,-0.006030924895571779,0.020437220202722612
1841,0.001980449938004828,0.04099299716544943,0.05551262495101743,0.0,0.0037871594075786757,-0.0005457057394388303,-0.0002911151610216827,-0.014684496740663723,-0.0063032072847416356,0.02090303635170515
1842,0.0020205958552273204,0.04149198846930019,0.05618835785712053,0.0,0.0038332589792457773,-0.0005558155982305819,-0.0003026052173917082,-0.015037657901828568,-0.006614028577914094,0.021373778251828127
