"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"N2O","tkm","heavy_oil","ktN2O",0.0123933295450846,0.0133685047903761,0.0143640734403149,0.0163918866381514,0.0182101432739859,0.0209136608971957,0.0219355466036852,0.0228034495324846,0.0237693415016321,0.0247352334707797,0.02563113326825,0.0262470643790107,0.0259530972579658,0.0244291645199297,0.0217828515308885,0.0195405472699524,0.0105439601540422,0.00977511415453667,0.00857706385558524,0.007326207764752,0.0132354418778916,0.00975129241666449,0.00810206776300657,0.0061870909724805,0.00553754369321093,0.00590962285045428,0.00560898463169184,0.0115791493797986,0.0205793422247345,0.0261214400915148,0.0276347947983576,0.0271215417493945,0.0293408147511555,0.0326090291159004,0.029556728408667,0.0285397108326801,0.0269581060650809,0.0263757920267262,0.0243615602083485,0.0236636929176211,0.0255189021355642,0.0306988133034138,0.0283533408799732,0.0317314354504389,0.0318186356799764,0.027492048031642,0.025112751936165,0.0263350013576128,0.0272139715361218,0.0289913152128778
"N2O","tkm","light_oil","ktN2O",0.0493028863015105,0.058700478477259,0.0611917454683363,0.0632158998985865,0.0658628710766061,0.0660964273570198,0.0678480994601209,0.0690548069089239,0.0705339966848762,0.0724024469281841,0.0757500869474442,0.0759836432278579,0.0756722348539731,0.0761571398605371,0.0773247664632022,0.0777556989495296,0.0574246356599175,0.0587119062136769,0.0603617600162205,0.0610345338565983,0.0716624020404956,0.0743185627941248,0.0729397591631207,0.0571837394411416,0.05116819767197,0.0479021943715396,0.0548798376974511,0.0490929385445985,0.0681177995034155,0.0795029907315443,0.0921414196692028,0.0952775456161395,0.111536257117754,0.127223251804467,0.133410308156022,0.141348023718389,0.137766273356556,0.149015928003801,0.156289803739516,0.153234605096098,0.171743720003486,0.17729041878151,0.177609080784251,0.188777375123623,0.21044531854399,0.188362037928615,0.171389660348847,0.181662684023712,0.187725948636325,0.199986324793805
"N2O","tkm","natural_gas","ktN2O",0.00400608353884874,0.00409396357363416,0.00425772177532662,0.00437681797065686,0.00461501356056326,0.00493896440436147,0.00512017342617575,0.0053730988775422,0.00565959401643096,0.00596725963204043,0.00643970774124701,0.0068688476583265,0.00735999855922803,0.00783889405039419,0.00834209232515001,0.00896583170197334,0.0160327820556812,0.0154678124240984,0.0157239338437015,0.016931955769454,0.0122253730604811,0.0130274826945739,0.012991852418274,0.0133525346015922,0.018318204431645,0.0178304627137424,0.0175391638221064,0.0177439957515205,0.0195972702235484,0.023465596002999,0.0226638828729095,0.0280455733138198,0.0257281857439929,0.0296171799888466,0.0330373646057434,0.0374585774504434,0.0393456821201471,0.0412571569419838,0.0394536163068413,0.0508742815287181,0.0581881638192667,0.0594559994920667,0.0625651908252254,0.057853485550279,0.0613928919642058,0.0749595972551965,0.0729929058813142,0.0718253495431556,0.0823659648692683,0.0914759684111146
"N2O","tkm","process","ktN2O",4.87040885162305,5.21423948315767,5.50463004208461,5.85492603508929,6.20598533333852,6.38397107024514,6.42779091792287,6.59781271916549,6.77064533351305,6.89916100295113,7.08054259693533,7.12106612593691,7.1631492039712,7.43149175108368,7.59994198903807,7.74452097221305,7.80214959405753,7.94765318158216,7.87135449502815,7.11866670767334,8.24019355564875,8.06272365885129,7.13278802767002,8.42893756657564,8.03787591697737,7.90228961974671,8.06245706444,8.48763610389814,6.92721266840695,7.89814663893164,8.95753347884286,9.37978150961763,8.8026788039316,9.85001138134628,10.2985654892131,10.7371472604571,13.0303299075489,11.952292494475,12.7615498730959,12.1776747628423,12.4918137362009,12.4201916283718,12.6009340645357,12.6909303971319,12.7740998305752,12.795989038898,12.8304045547346,12.8642553433817,12.8975266905823,12.9300789361505
"N2O","tls","biomass","ktN2O",0.00367264205743156,0.00374074937308295,0.00380247880173343,0.00386613057197394,0.00388290289216929,0.00385949939236793,0.00378576757698876,0.00364746916854441,0.0035201507608858,0.00361679544759872,0.00358575687840652,0.00362285435354725,0.00372879083682286,0.00390679965408005,0.00405652202918159,0.00423240312143017,0.00437207870249803,0.00449873594631063,0.00454056376798433,0.00456666244629658,0.00480083087006087,0.00479350665315333,0.00474832101489969,0.00479387535859598,0.00437580727260612,0.00614261623877666,0.00696644187386958,0.00731912226516663,0.007426406209445,0.00731562573855125,0.00642977299077178,0.00672024971436823,0.00636425895220161,0.00610443193331061,0.00590826616641107,0.00560082657579013,0.00547414200679035,0.00552460802423241,0.00506666671875097,0.00471452625848225,0.00458029201782093,0.00584186643368228,0.00567095179839387,0.00425830691550082,0.00583331450158647,0.00586129112113968,0.00580787922504576,0.00593802510185508,0.00593802510185508,0.00593802510185508
"N2O","tls","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tls","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tls","diesel_oil","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000342866346180411,0.000366874365358192,0.000464752001893792,0.000454148658317131,0.00055537541954354,0.000595489625007841,0.000405957309215268,0.000348589365033075,0.000380271428796464,0.00055714371904566,0.000681856766356648,0.000769219202545138,0.000646908731792132,0.000665244650044666,0.000674467745896698,0.000704819576597237,0.000735969202069495,0.000783603937194393
"N2O","tls","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tls","heavy_oil","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000338822107388935,0.00033154401204841,0.000319454031963886,0.000310753266891127,0.000349860144700203,0.000534818213572428,0.000329172834917658,0.000281779117501283,0.000264904792863809,0.000384079725135713,0.000446891597038959,0.00043326912519156,0.000443823408549561,0.000506459770960516,0.000528492228300435,0.000551355969414243,0.000575723243706002,0.000612986248926965
"N2O","tls","light_oil","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454599355053342,0.000463158489901788,0.000489726971625405,0.000538050527934285,0.000766100781485797,0.00111240273633053,0.00105711615482995,0.00126471872742213,0.00148963450634716,0.00208058451271334,0.00396915057053181,0.00489546261243071,0.00177881990886063,0.00183621502149864,0.00138018780330748,0.00144405204294554,0.00150787217762081,0.00160546741880915
"N2O","tls","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tls","process","ktN2O",0.590040177371396,0.618710423718926,0.653794374863306,0.651102748220728,0.638492787711654,0.568955765628018,0.50247795619873,0.420579198944762,0.357011294873312,0.2750977391489,0.231256984410565,0.22967785461943,0.244222544427582,0.25735056518594,0.260800296829596,0.279116289177848,0.28816707911435,0.295208710828172,0.2990192308996,0.338508827064557,0.357073439701488,0.390203256529787,0.422652047529806,0.454428774441269,0.550910106891551,0.560233930644521,0.584370468674192,0.60480330715442,0.648824935175906,0.53899600708078,0.557777208930892,0.657458351983233,0.65742860273899,0.634589855336071,0.614711089728289,0.640616547907396,0.655010311314964,0.674013150020826,0.681548977885839,0.694555596492563,0.688757495614699,0.717963014649925,0.747471092086583,0.774081990114636,0.775332880808419,0.775549944748419,0.776691896474207,0.777813406919103,0.778920686092492,0.780028180891206
"N2O","ton","biomass","ktN2O",0.000817252239732382,0.000827651208407593,0.000826117803981919,0.000825650168642205,0.000823305912744404,0.000823729329047484,0.000830490174064656,0.000835704000560615,0.000846829890607543,0.000867264804647141,0.000881195407738117,0.000889672611116305,0.000895501489836935,0.000906792434027274,0.000907508539158708,0.000919639588742949,0.000929893589493606,0.000937398009710475,0.000930288356535813,0.000915794080387181,0.000929694604826996,0.000899720365447362,0.00086139849513371,0.000797623350369884,0.00114923520596109,0.00120486325900872,0.00122082276822288,0.00150989109152467,0.00155128397703586,0.00151795566077759,0.000399210001648727,0.00039210189996265,0.000355615171781936,0.000318665469710291,0.000328096948259455,0.000250964147437846,0.0002457514426111,0.000375360871486631,0.000353660799673498,0.000281745094735676,0.000276667341992048,0.00159589426308847,0.00157656684874115,0.000162182573965587,0.000921741742860199,0.000909292135768838,0.000889739744237396,0.000898005508113999,0.000898005508113999,0.000898005508113999
"N2O","ton","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","ton","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","ton","diesel_oil","ktN2O",6.42865819235268e-05,5.08552135303424e-05,5.20509653213887e-05,5.55181923232241e-05,6.76343995695002e-05,9.07380076601401e-05,6.94686266867341e-05,7.88884242101471e-05,0.000110645303022561,0.000128095559176391,0.000125056441984864,0.000167700406241004,0.000155665201950444,0.000179920484288448,0.000185199221239754,0.000177741073858414,0.000181239329666717,0.000200128802139395,0.000271381773277582,0.000237913425197839,0.000239839059450429,0.000300798741824978,0.000188526779283281,0.000182596527621923,0.000275630652467364,0.00025828476371017,0.000237513239283889,0.000299601160293507,0.000291365481901577,0.000300219228344193,0.000262790906562744,0.000284212317980813,0.000298479820053577,0.000331408721325659,0.000402600873761142,0.000410642605641831,0.000416469525227889,0.000403175748035625,0.00040195827510309,0.000363443373706317,0.00039176780230583,0.000547426376185104,0.00084583355290775,0.00057701010118457,0.000391040853579325,0.000408934279840353,0.000412305828219028,0.00043091757630857,0.000449962054579489,0.000479085315751124
"N2O","ton","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","ton","heavy_oil","ktN2O",7.65878020756888e-05,4.7810504988121e-05,6.13016744941294e-05,8.92360890933167e-05,9.42226191315362e-05,0.000110325712182977,0.000101657034653252,6.67339613770782e-05,8.78223428676868e-05,0.000100620022928761,0.00011737215177482,0.000113132732570063,0.000114147156690725,0.000133412631214116,0.000113626050686233,7.79787687184628e-05,7.49715944622542e-05,8.5199560301883e-05,0.000104665836207321,9.88639236755149e-05,0.000111705485825603,0.000135189673392464,0.000115627122746663,0.00012629398880556,0.000170215086902361,0.000167486853531909,0.00014160119972049,0.000170819325105002,0.000182755736031645,0.000219405665301772,0.000253488508588725,0.000276102538004998,0.000301297547583375,0.000306214356855823,0.000287810703873284,0.000283957154456444,0.000242634910132332,0.000335739287418657,0.000309835443504512,0.00026532000685858,0.000244363204101531,0.000326279509970613,0.000388887160615732,0.000229048421751732,0.000223884025321889,0.000256044190047392,0.000266872097606384,0.000278345961283743,0.000290647510124885,0.000309459326054925
"N2O","ton","light_oil","ktN2O",0.000267920134249422,0.000204050588452179,0.000239532464177108,0.000223282373383564,0.000184899879484973,0.000291357852113792,0.000263058829389915,0.000277210871652159,0.0004015621370849,0.000426717203384797,0.000425948094834733,0.000487802575774143,0.00049750273487075,0.00051166926348669,0.000514339091065179,0.00028449365388195,0.00026816567277088,0.000320735788530907,0.000404811054397104,0.000411553367145038,0.000450432454635396,0.000584647280223406,0.000471080116067647,0.000474149142064039,0.000697721527076145,0.000813322466912092,0.000868323226491033,0.000909404755518769,0.000970680545049061,0.000966045682605893,0.00107906665953596,0.00114228002708537,0.0010295571192671,0.00107664479727804,0.00108560541494472,0.00126191608860205,0.0011352155994812,0.00151846351506351,0.00232170204149489,0.00261749756065286,0.00281158591938845,0.00397956936236705,0.00825954157818644,0.00510913459081618,0.0014451988020209,0.00149101889508352,0.00112143170618406,0.00117327420306968,0.00122512726336395,0.00130442217478217
"N2O","ton","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","ton","process","ktN2O",0.0279191833709382,0.0262220206055878,0.0267496721529774,0.0306163802905922,0.0324456072794192,0.0409328378845451,0.0447912721468106,0.0507089386022009,0.0650664296589591,0.0662129543117456,0.0675583520082534,0.0770078073502661,0.0714031466543452,0.0590650008037074,0.0546698203828646,0.0661117061748599,0.0661788244296493,0.0741400081734127,0.0792497228142206,0.075513593130162,0.0681360630577259,0.0684792084427471,0.071508571373165,0.0713484359978741,0.0710697429694626,0.0695047830751939,0.0703475181641472,0.0702169397303178,0.0708931819142088,0.0728702510255509,0.076187814250694,0.0769912557476949,0.0777575065259053,0.15569083388502,0.0938742026098167,0.0892429479263064,0.0838381633945091,0.0803225175704489,0.0821888707616946,0.17072836229719,0.146660725511775,0.094153092342736,0.142593093268849,0.142540426187366,0.0881515985991496,0.0881312015981496,0.088176738716554,0.088230649774853,0.088290428703443,0.0883517968469035
